created_at,Security,text,sentiment
Fri Apr 09 19:48:19 +0000 2021,3M Company,3M sues Florida company over sale of fake N95 masks https://t.co/NXQqUlJLyA,-0.4767
Fri Apr 09 19:48:08 +0000 2021,3M Company,"3M sues Florida company over sale of fake N95 masks
https://t.co/ORaOGSlZqg",-0.4767
Fri Apr 09 19:46:58 +0000 2021,3M Company,Great installation photos of 3M Fireblock Foam and CP 25 supplied by General Insulation Company.  Special thank you… https://t.co/NiGsi7TsZX,0.8519
Fri Apr 09 19:42:59 +0000 2021,3M Company,RT @news4buffalo: Product manufacturer 3M has filed a trademark and fraud lawsuit against a Florida company that’s accused of selling count…,-0.7845
Fri Apr 09 19:39:02 +0000 2021,3M Company,Product manufacturer 3M has filed a trademark and fraud lawsuit against a Florida company that’s accused of selling… https://t.co/1Ip4a6Txfd,-0.7845
Fri Apr 09 19:29:16 +0000 2021,3M Company,Update: 3M has filed a trademark and fraud lawsuit against a Florida company that’s accused of selling counterfeit… https://t.co/wCcRgogxEY,-0.7845
Fri Apr 09 19:20:42 +0000 2021,3M Company,🤬🤬🤬 AstraZeneca cuts this week’s vaccine deliveries to EU by half. The company now expects to deliver 1.3m doses to… https://t.co/Mt296rF0UQ,-0.296
Fri Apr 09 19:18:17 +0000 2021,3M Company,"RT @FinancialTimes: AstraZeneca has slashed the number of Covid-19 shots it will deliver to EU nations this week by almost half. 

The comp…",-0.1531
Fri Apr 09 19:15:37 +0000 2021,3M Company,"RT @FinancialTimes: AstraZeneca has slashed the number of Covid-19 shots it will deliver to EU nations this week by almost half. 

The comp…",-0.1531
Fri Apr 09 19:00:24 +0000 2021,3M Company,Product manufacturer 3M has filed a trademark and fraud lawsuit against a Florida company that’s accused of selling… https://t.co/vtd5IUNyod,-0.7845
Fri Apr 09 18:25:02 +0000 2021,Abbott Laboratories,An over-the-counter rapid COVID-19 test made by Abbott Laboratories has been approved by the U.S. Food and Drug Adm… https://t.co/ZNAPgs9F3F,0.4215
Fri Apr 09 12:57:55 +0000 2021,AbbVie Inc.,AbbVie Inc current quarter revenue growth YoY of 59.20% ranked 343 out of 5495 companies in our database.… https://t.co/JH607o4bCw,0.3818
Fri Apr 09 19:23:59 +0000 2021,Abiomed,"RT @abiomedimpella: Want to learn more about the world’s smallest heart pump? 

In this video, Dr. Bobbi Bogaev explains what Impella heart…",0.6705
Fri Apr 09 19:44:52 +0000 2021,Accenture,This mural is made possible with thanks to @TobinCenterSA and Andi Rodriguez with @centrosa and their Art Everywher… https://t.co/Iv4o86ibHK,0.4404
Fri Apr 09 19:18:58 +0000 2021,Activision Blizzard,@xavier_149 @charlieINTEL if your Activision isn't liked to your blizzard when ur on pc  it will do that.,-0.3252
Fri Apr 09 19:24:07 +0000 2021,Adobe Inc.,RT @googlefonts: New font! Reggae One by @fontworks_inc is a long-seller display font that has been used in Japanese magazines and digital…,0.0
Fri Apr 09 19:26:46 +0000 2021,Advanced Micro Devices,"ADVANCED MICRO DEVICES
Great Invest Idea in 2021 
short term👇 https://t.co/XSxnXXJihb",0.7804
Fri Apr 09 17:01:37 +0000 2021,Advance Auto Parts,These advance auto parts lookin mfers https://t.co/lLOOcJmJue,0.0
Fri Apr 09 05:46:10 +0000 2021,AES Corp,"AES Corp $AES: EV/Operating Cash Flow is equal to 12x Business Profile
Headquartered in Arlington, VIRGINIA,… https://t.co/OCuu2QaBnc",0.0
Fri Apr 09 19:16:44 +0000 2021,Aflac,I swear bro I need more ppl to play warzone with cause none of my friends are ever on when I want to play,0.3838
Fri Apr 09 06:21:56 +0000 2021,Agilent Technologies,"[Job] Production Engineering Internship. | Company: Agilent Technologies, Inc. | Location: Torino PIE Italy |… https://t.co/emaJs2VUXB",0.0
Fri Apr 09 19:34:03 +0000 2021,Air Products & Chemicals,"Argon Gas Market Expected To Reach USD 553.7 Million By 2027 | Key Players: Air Products and Chemicals Inc., Messer… https://t.co/9UATqqy4Gp",0.0258
Fri Apr 09 17:03:10 +0000 2021,Akamai Technologies,Akamai Titans 2020: Celebrating Outstanding Achievem ... https://t.co/yzPSlPhkI7 https://t.co/f2juxBP57L,0.8271
Fri Apr 09 18:21:25 +0000 2021,Alaska Air Group,"Rep Peter DeFazio (D-OR) accepted $19,395 from Alaska Air Group. He votes with his party 97.87% of the time.",0.5859
Wed Apr 07 23:27:17 +0000 2021,Albemarle Corporation,"Albemarle to Release First-Quarter 2021 Earnings Results on Wednesday, May 5, 2021 $ALB https://t.co/E15hShynei",0.0
Thu Apr 08 23:52:39 +0000 2021,Alexandria Real Estate Equities,"RT @laura_waxee: Alexandria Real Estate Equities is making changes to its 1 million-square-foot mixed-use development in SoMa, reporting th…",0.0
